Vessel Name,Thai name,Owner Name,Link to report which mentions,IMO,MMSI,Registration number,Call sign,Notes,Link to source of data about fishing vessel
Chaicharoen 5,ชัยเจริญ 5,"Chaicharoen Marine (2002) Co.,Ltd.",,,319401436.0,,TM1727A,,Company website
Chaicharoen 22,ชัยเจริญ 22,"Chaicharoen Marine (2002) Co.,Ltd.",,,,,TL1489A,,The Department of Fisheries of Thailand
Chaicharoen 23,ชัยเจริญ 23,"Chaicharoen Marine (2002) Co.,Ltd.",,,514180257.0,,TL2599A,,The Department of Fisheries of Thailand
Chaicharoen 25,ชัยเจริญ 25,"Chaicharoen Marine (2002) Co.,Ltd.",,,484100022.0,,TL1434B,,The Department of Fisheries of Thailand
Chaicharoen 26,ชัยเจริญ 26,"Chaicharoen Marine (2002) Co.,Ltd.",,,514180192.0,,TL2574A,,The Department of Fisheries of Thailand
Chaicharoen 3,ชัยเจริญ 3,"Chaicharoen Marine (2002) Co.,Ltd.",,,139400107.0,,TL2576A,,The Department of Fisheries of Thailand
Chaicharoen 31,ชัยเจริญ 31,"Chaicharoen Marine (2002) Co.,Ltd.",,,,,,,The Department of Fisheries of Thailand
Chaicharoen 35,ชัยเจริญ 35,"Chaicharoen Marine (2002) Co.,Ltd.",,,,,,,The Department of Fisheries of Thailand
Chaicharoen 36,ชัยเจริญ 36,"Chaicharoen Marine (2002) Co.,Ltd.",,,,,,,The Department of Fisheries of Thailand
Chaicharoen 39,ชัยเจริญ 39,"Chaicharoen Marine (2002) Co.,Ltd.",,,137505498.0,,TL2367A,,The Department of Fisheries of Thailand
Chaicharoen 40,ชัยเจริญ 40,"Chaicharoen Marine (2002) Co.,Ltd.",,,,,,,The Department of Fisheries of Thailand
Pramongchai,ประมงชัย,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,,,,,Company website
Pramongchai 15,ประมงชัย 15,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,309402163.0,,TL2684B,,The Department of Fisheries of Thailand
Pramongchai 18,ประมงชัย 18,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,586204328.0,,TS3505E,,The Department of Fisheries of Thailand
Pramongchai 19,ประมงชัย 19,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,,,,,The Department of Fisheries of Thailand
Pramongchai 23,ประมงชัย 23,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,586204302.0,,TS3500E,,The Department of Fisheries of Thailand
Pramongchai 24,ประมงชัย 24,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,432101381.0,,TS3499E,,The Department of Fisheries of Thailand
Pramongchai 5,ประมงชัย 5,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,332104320.0,,TL2685B,,The Department of Fisheries of Thailand
Pramongchai 59,ประมงชัย 59,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,460002731.0,,TX75B,,The Department of Fisheries of Thailand
Pramongchai 6,ประมงชัย 6,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,,,,,The Department of Fisheries of Thailand
Pramongchai 7,ประมงชัย 7,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,484100030.0,,TL1517A,,The Department of Fisheries of Thailand
Pramongchai 7,ประมงชัย,"Chaicharoen Marine (2002) Co.,Ltd.",December 2023.pdf.pdf,,,,,,The Department of Fisheries of Thailand
Chaicharoen 7,ชัยเจริญ 7,"Chaicharoen Marine (2002) Co.,Ltd.",,,169401913.0,,TL1439A,,The Department of Fisheries of Thailand
Chaicharoen 9,ชัยเจริญ 9,"Chaicharoen Marine (2002) Co.,Ltd.",,,169401654.0,,TL2583A,,The Department of Fisheries of Thailand
Chaicharoen 27,ชัยเจริญ 27,"Chaicharoen Marine (2002) Co.,Ltd.",,,137410724.0,,TM410A,,The Department of Fisheries of Thailand
Chaicharoen 31,ชัยเจริญ 31,"Chaicharoen Marine (2002) Co.,Ltd.",,,474100038.0,,TL1415B,,The Department of Fisheries of Thailand
Chaicharoen 33,ชัยเจริญ 33,"Chaicharoen Marine (2002) Co.,Ltd.",,,514180215.0,,TL2561A,,The Department of Fisheries of Thailand
Chaicharoen 1,ชัยเจริญ 1,"Chaicharoen Marine (2002) Co.,Ltd.",,,259408192.0,,TM1654A,,The Department of Fisheries of Thailand
Chaicharoen 17,ชัยเจริญ 17,"Chaicharoen Marine (2002) Co.,Ltd.",,,319401452.0,,TM3810A,,The Department of Fisheries of Thailand
Chaicharoen 37,ชัยเจริญ 37,"Chaicharoen Marine (2002) Co.,Ltd.",,,328400942.0,,TM3727M,,The Department of Fisheries of Thailand
Chaicharoen 24,ชัยเจริญ 24,"Chaicharoen Marine (2002) Co.,Ltd.",,,514180231.0,,TX51A,,The Department of Fisheries of Thailand
Chaicharoen 333,ชัยเจริญ 333,"Chaicharoen Marine (2002) Co.,Ltd.",,,584103152.0,,TS1935M,,The Department of Fisheries of Thailand
Chaicharoen 15,ชัยเจริญ 15,"Chaicharoen Marine (2002) Co.,Ltd.",,,229405716.0,,TL1425A,,The Department of Fisheries of Thailand
Chaicharoen 12,ชัยเจริญ 12,"Chaicharoen Marine (2002) Co.,Ltd.",,,229405732.0,,TL1532A,,The Department of Fisheries of Thailand
Chaicharoen 222,ชัยเจริญ 222,"Chaicharoen Marine (2002) Co.,Ltd.",,,584103160.0,,TM1543M,,The Department of Fisheries of Thailand
